City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
164,Saint-Joseph,RE,2022-05-04 16:07:23,-21.3667,55.6167,73.78,84,29,15.68
165,Adre,TD,2022-05-04 16:07:23,13.4667,22.2,85.32,35,37,23.22
166,Matara,LK,2022-05-04 16:07:24,5.9485,80.5353,80.01,88,51,9.57
167,Kedrovyy,RU,2022-05-04 16:07:24,56.1667,91.8167,28.87,74,7,3.83
168,Alyangula,AU,2022-05-04 16:07:25,-13.8483,136.4192,80.31,74,15,6.17
169,Kruisfontein,ZA,2022-05-04 16:07:25,-34.0033,24.7314,65.88,91,50,3.15
170,Taltal,CL,2022-05-04 16:07:26,-25.4,-70.4833,64.2,74,20,3.13
171,Shelburne,CA,2022-05-04 16:07:26,44.0787,-80.2041,52.75,99,100,12.71
172,Egvekinot,RU,2022-05-04 16:07:27,66.3167,-179.1667,9.37,88,54,10.76
173,Dryden,CA,2022-05-04 16:07:27,49.7833,-92.7503,46.4,77,97,5.03
174,Juneau,US,2022-05-04 16:03:12,58.3019,-134.4197,42.8,90,100,13.8
175,Bundaberg,AU,2022-05-04 16:07:28,-24.85,152.35,68.29,99,100,5.75
176,Jining,CN,2022-05-04 16:07:28,35.405,116.5814,66.56,44,16,10.09
177,Vaini,TO,2022-05-04 16:07:29,-21.2,-175.2,71.76,94,20,3.44
178,Serra,BR,2022-05-04 16:04:25,-20.1286,-40.3078,88.47,54,1,10.04
179,Severo-Kurilsk,RU,2022-05-04 16:07:30,50.6789,156.125,33.84,87,100,4.23
180,Petropavlovsk-Kamchatskiy,RU,2022-05-04 16:06:47,53.0452,158.6483,30.87,84,30,2.28
181,Kathmandu,NP,2022-05-04 16:06:07,27.7167,85.3167,68.22,88,20,5.75
182,Mount Gambier,AU,2022-05-04 16:07:31,-37.8333,140.7667,43.95,88,75,5.03
183,Jasper,US,2022-05-04 16:07:31,37.2001,-94.3502,52.0,87,100,3.44
184,Bethel,US,2022-05-04 16:07:32,41.3712,-73.414,54.03,92,100,3.44
185,Casper,US,2022-05-04 16:05:18,42.8666,-106.3131,38.71,92,100,8.05
186,Kalmunai,LK,2022-05-04 16:07:32,7.4167,81.8167,82.6,81,14,5.93
187,Faanui,PF,2022-05-04 16:07:33,-16.4833,-151.75,81.01,76,99,10.94
188,Araripina,BR,2022-05-04 16:07:33,-7.5761,-40.4983,85.24,46,100,10.13
189,Pag,HR,2022-05-04 16:07:34,44.445,15.0575,68.58,61,95,2.71
190,Hokitika,NZ,2022-05-04 16:07:34,-42.7167,170.9667,57.0,87,92,3.04
191,Westport,US,2022-05-04 16:07:35,41.1415,-73.3579,55.44,96,100,9.22
192,Brae,GB,2022-05-04 16:07:35,60.3964,-1.353,49.6,81,86,16.49
193,Tiksi,RU,2022-05-04 16:07:36,71.6872,128.8694,3.51,97,19,4.45
194,Kanniyakumari,IN,2022-05-04 16:07:36,8.0833,77.5667,83.39,81,100,18.21
195,Comodoro Rivadavia,AR,2022-05-04 16:07:37,-45.8667,-67.5,62.46,45,0,21.85
196,Peniche,PT,2022-05-04 16:07:37,39.3558,-9.3811,74.08,73,0,17.16
197,Bilma,NE,2022-05-04 16:07:38,18.6853,12.9164,106.79,8,100,8.86
198,Noumea,NC,2022-05-04 16:07:38,-22.2763,166.4572,71.58,84,6,8.3
199,Banjar,ID,2022-05-04 16:07:39,-8.19,114.9675,78.55,91,100,4.61
200,Sarh,TD,2022-05-04 16:07:39,9.1429,18.3923,97.81,28,75,5.59
201,Worthington,US,2022-05-04 16:07:40,40.0931,-83.018,55.29,88,100,12.66
202,Tabou,CI,2022-05-04 16:07:40,4.423,-7.3528,85.57,67,10,8.77
