City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date,Country
177,Asimion,35.05,25.1,70.84,54,0,4.65,clear sky,2022-05-15 15:32:49,GR
178,Senanga,-16.1167,23.2667,72.46,37,21,5.57,few clouds,2022-05-15 15:32:50,ZM
179,Victor Harbor,-35.5667,138.6167,57.0,79,41,14.47,scattered clouds,2022-05-15 15:32:50,AU
180,Kishtwar,33.3167,75.7667,65.98,41,57,7.0,broken clouds,2022-05-15 15:32:51,IN
181,Prince Rupert,54.3161,-130.3201,44.69,95,100,9.22,light rain,2022-05-15 15:31:31,CA
182,Makakilo City,21.3469,-158.0858,73.72,75,100,6.91,overcast clouds,2022-05-15 15:32:52,US
183,Sawakin,19.1059,37.3321,91.11,43,0,3.31,clear sky,2022-05-15 15:32:52,SD
184,Leh,34.1667,77.5833,52.29,29,61,7.85,broken clouds,2022-05-15 15:32:53,IN
185,Karakol,42.4907,78.3936,48.54,83,100,4.7,overcast clouds,2022-05-15 15:32:53,KG
186,Fortuna,40.5982,-124.1573,58.93,94,75,0.0,broken clouds,2022-05-15 15:32:54,US
187,Ixtapa,20.7,-105.2,74.43,69,0,3.44,clear sky,2022-05-15 15:32:54,MX
188,Kolno,53.4115,21.9291,58.1,55,27,11.48,scattered clouds,2022-05-15 15:32:55,PL
189,Kropotkin,45.4375,40.5756,62.2,76,43,9.06,scattered clouds,2022-05-15 15:32:55,RU
190,Xam Nua,20.4197,104.0439,66.83,99,100,3.2,overcast clouds,2022-05-15 15:32:56,LA
191,Galich,58.3797,42.3475,46.83,90,100,5.61,overcast clouds,2022-05-15 15:32:56,RU
192,Erzin,36.9559,36.2,63.84,79,60,6.2,broken clouds,2022-05-15 15:32:57,TR
193,Kathmandu,27.7167,85.3167,73.62,94,75,4.61,thunderstorm,2022-05-15 15:32:11,NP
194,Castro,-24.7911,-50.0119,59.07,93,99,6.89,overcast clouds,2022-05-15 15:32:57,BR
195,Mortka,59.3322,66.0214,51.46,80,99,5.86,overcast clouds,2022-05-15 15:32:58,RU
196,Satipo,-11.2522,-74.6386,85.08,57,62,1.74,broken clouds,2022-05-15 15:32:58,PE
197,Sitka,57.0531,-135.33,48.09,61,100,5.75,overcast clouds,2022-05-15 15:32:59,US
198,Lubango,-14.9172,13.4925,80.46,16,75,6.91,broken clouds,2022-05-15 15:32:59,AO
199,Porto Novo,6.4965,2.6036,89.42,62,30,9.6,scattered clouds,2022-05-15 15:33:00,BJ
200,Tahta,26.7693,31.5021,90.0,11,71,20.36,broken clouds,2022-05-15 15:33:00,EG
201,Amga,60.8953,131.9608,31.03,96,100,9.06,light snow,2022-05-15 15:33:01,RU
202,Narasannapeta,18.4167,84.05,84.51,83,2,9.73,clear sky,2022-05-15 15:33:01,IN
203,Pelym,61.0108,61.9978,51.98,74,64,5.1,light rain,2022-05-15 15:33:02,RU
204,Leshukonskoye,64.8989,45.7622,53.76,69,71,8.95,broken clouds,2022-05-15 15:33:02,RU
205,Aljezur,37.3191,-8.8033,69.21,65,52,11.3,broken clouds,2022-05-15 15:33:03,PT
206,Puerto Ayora,-0.7393,-90.3518,78.76,92,61,5.99,broken clouds,2022-05-15 15:33:03,EC
207,Haines Junction,60.7522,-137.5108,30.88,92,91,2.33,overcast clouds,2022-05-15 15:33:04,CA
208,Teguldet,57.3064,88.1667,61.7,74,99,2.62,light rain,2022-05-15 15:33:04,RU
209,Sao Borja,-28.6606,-56.0044,59.95,71,74,13.31,broken clouds,2022-05-15 15:33:05,BR
210,Port Elizabeth,-33.918,25.5701,67.1,84,0,6.91,clear sky,2022-05-15 15:33:05,ZA
211,Boca Do Acre,-8.7522,-67.3978,84.04,80,100,2.91,overcast clouds,2022-05-15 15:33:06,BR
212,Flinders,-34.5833,150.8552,61.05,86,0,4.0,clear sky,2022-05-15 15:29:59,AU
213,Port Hardy,50.6996,-127.4199,48.2,93,100,0.0,light rain,2022-05-15 15:32:18,CA
