City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
895,Barcelona,ES,68.9,clear sky,41.3888,2.159,Axel Hotel Barcelona
896,Banjar,ID,84.49,scattered clouds,-8.19,114.9675,The Hamsa Resort
897,Attingal,IN,76.68,light rain,8.6833,76.8333,Government Guest House
899,Gheorghe Lazar,RO,64.89,overcast clouds,44.6333,27.45,
904,Araouane,ML,79.14,clear sky,18.9048,-3.5265,
905,Atagay,RU,65.08,clear sky,55.1033,99.3875,
906,Qandala,SO,83.61,clear sky,11.472,49.8728,
909,Ilo,PE,64.33,few clouds,-17.6394,-71.3375,Torreblanca Hotel
910,Bouafle,CI,78.82,light rain,6.9904,-5.7442,Hotel Zaouli
914,Constantine,DZ,62.01,clear sky,36.365,6.6147,Grand Hotel Cirta
915,Zhaoyuan,CN,66.88,scattered clouds,37.3592,120.3964,Super 8 Hotel Yantai Zhaoyuan Bus Terminal Branch
916,Daru,PG,84.13,few clouds,-9.0763,143.2092,Daru Lodge
917,Sawakin,SD,81.97,clear sky,19.1059,37.3321,فندق الدويم
918,Richards Bay,ZA,66.72,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
920,Isangel,VU,77.81,broken clouds,-19.55,169.2667,Tanna Lodge
921,Nassau,US,65.88,mist,40.7507,-73.5829,Hilton Garden Inn Westbury
922,Vila Franca Do Campo,PT,61.21,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
923,San Cristobal,VE,75.38,overcast clouds,7.7669,-72.225,Pirineos
925,Gabu,GW,77.77,clear sky,12.2833,-14.2167,Hotel karsa
926,Aracati,BR,78.58,broken clouds,-4.5617,-37.7697,Motel Pousada Milleniun - Aracati-CE
928,Odweyne,SO,73.81,few clouds,9.4092,45.064,Eng Hiirey House
930,Tiznit,MA,65.93,broken clouds,29.5833,-9.5,
933,Ponta Do Sol,PT,66.7,scattered clouds,32.6667,-17.1,Hotel do Campo
934,Suamico,US,79.09,broken clouds,44.6319,-88.0393,"Country Inn & Suites by Radisson, Green Bay North, WI"
935,Langsa,ID,80.37,overcast clouds,4.4683,97.9683,OYO 3328 Hotel Mori
937,Cockburn Town,TC,79.3,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
938,Grand Gaube,MU,73.8,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
939,Najran,SA,70.45,few clouds,17.4924,44.1277,محمد هادي ال فطيح
940,Gladstone,AU,81.79,overcast clouds,-23.85,151.25,Highpoint International Hotel
941,Guadalupe Y Calvo,MX,68.88,overcast clouds,26.1,-106.9667,Hotel Pizarro
942,Kupang,ID,84.06,few clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
946,Nanga Eboko,CM,68.83,overcast clouds,4.6833,12.3667,Motel Papi Palace
947,Katsuura,JP,62.78,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
948,Myitkyina,MM,73.15,overcast clouds,25.3833,97.4,Shwe Phyu Hotel
949,Key West,US,84.2,few clouds,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
952,Atherton,GB,60.3,overcast clouds,53.5237,-2.4935,The Mercury Motel
